"filename", "language", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\eliot\Desktop\Projets\Programmation\Overlay Twitch\nodeApp\src\Core\Counter.ts", "TypeScript", 17, 0, 0, 5, 22
"c:\Users\eliot\Desktop\Projets\Programmation\Overlay Twitch\nodeApp\src\Core\core.ts", "TypeScript", 49, 0, 0, 10, 59
"c:\Users\eliot\Desktop\Projets\Programmation\Overlay Twitch\nodeApp\src\Core\messageHandlers.ts", "TypeScript", 86, 0, 1, 21, 108
"c:\Users\eliot\Desktop\Projets\Programmation\Overlay Twitch\nodeApp\src\Core\server.ts", "TypeScript", 88, 0, 45, 34, 167
"c:\Users\eliot\Desktop\Projets\Programmation\Overlay Twitch\nodeApp\src\UI\ContentArea.tsx", "TypeScript JSX", 0, 23, 0, 4, 27
"c:\Users\eliot\Desktop\Projets\Programmation\Overlay Twitch\nodeApp\src\UI\FocusTracker.tsx", "TypeScript JSX", 0, 2, 0, 2, 4
"c:\Users\eliot\Desktop\Projets\Programmation\Overlay Twitch\nodeApp\src\UI\InputText.tsx", "TypeScript JSX", 0, 29, 0, 5, 34
"c:\Users\eliot\Desktop\Projets\Programmation\Overlay Twitch\nodeApp\src\UI\MonitoringPanel.tsx", "TypeScript JSX", 0, 29, 0, 4, 33
"c:\Users\eliot\Desktop\Projets\Programmation\Overlay Twitch\nodeApp\src\UI\NavigationBar.tsx", "TypeScript JSX", 0, 50, 0, 7, 57
"c:\Users\eliot\Desktop\Projets\Programmation\Overlay Twitch\nodeApp\src\UI\StartMenu.tsx", "TypeScript JSX", 0, 16, 0, 3, 19
"c:\Users\eliot\Desktop\Projets\Programmation\Overlay Twitch\nodeApp\src\UI\Table.tsx", "TypeScript JSX", 0, 87, 3, 15, 105
"c:\Users\eliot\Desktop\Projets\Programmation\Overlay Twitch\nodeApp\src\app.tsx", "TypeScript JSX", 0, 95, 4, 17, 116
"c:\Users\eliot\Desktop\Projets\Programmation\Overlay Twitch\nodeApp\src\main.ts", "TypeScript", 22, 0, 2, 6, 30
"Total", "-", 262, 331, 55, 133, 781
